Nationalitätszeichen,Unterscheidungszeichen,Zulassungsbezirk,Bundesland.Name,Bundesland.Iso3166-2,Zulassungsbehörde
A,SR,Steyr – Stadt ,Oberösterreich,AT-4,Landespolizeidirektion Oberösterreich für das Gebiet der Gemeinde Steyr
A,UU,Urfahr/Umgebung,Oberösterreich,AT-4,BH Urfahr-Umgebung
A,VB,Vöcklabruck,Oberösterreich,AT-4,BH Vöcklabruck
A,WE,Wels – Stadt,Oberösterreich,AT-4,Landespolizeidirektion Oberösterreich für das Gebiet der Gemeinde Wels
A,WL,Wels/Land,Oberösterreich,AT-4,BH Wels
A,HA,Hallein,Salzburg,AT-5,BH Hallein
A,JO,St. Johann im Pongau,Salzburg,AT-5,BH St. Johann
A,S,Salzburg – Stadt,Salzburg,AT-5,Landespolizeidirektion Salzburg für das Gebiet der Gemeinde Salzburg
A,SL,Salzburg/Land,Salzburg,AT-5,BH Salzburg-Umgebung
A,TA,Tamsweg,Salzburg,AT-5,BH Tamsweg
A,ZE,Zell am See,Salzburg,AT-5,BH Zell am See
A,BM,Bruck-Mürzzuschlag,Steiermark,AT-6,BH Bruck-Mürzzuschlag
A,DL,Deutschlandsberg,Steiermark,AT-6,BH Deutschlandsberg
A,G,Graz,Steiermark,AT-6,Landespolizeidirektion Steiermark für das Gebiet der Gemeinde Graz
A,GB,Gröbming,Steiermark,AT-6,Exp. Gröbming
A,GU,Graz/Umgebung,Steiermark,AT-6,BH Graz-Umgebung
A,HF,Hartberg-Fürstenfeld,Steiermark,AT-6,BH Hartberg-Fürstenfeld
A,LB,Leibnitz,Steiermark,AT-6,BH Leibnitz
A,LE,Leoben – Stadt,Steiermark,AT-6,Landespolizeidirektion Steiermark für das Gebiet der Gemeinde Leoben
A,LI,Liezen,Steiermark,AT-6,BH Liezen
A,LN,Leoben/Umgebung,Steiermark,AT-6,BH Leoben
A,MT,Murtal,Steiermark,AT-6,BH Murtal
A,MU,Murau,Steiermark,AT-6,BH Murau
A,SO,Südoststeiermark,Steiermark,AT-6,BH Südoststeiermark
A,VO,Voitsberg,Steiermark,AT-6,BH Voitsberg
A,WZ,Weiz,Steiermark,AT-6,BH Weiz
A,I,Innsbruck – Stadt,Tirol,AT-7,Landespolizeidirektion Tirol für das Gebiet der Gemeinde Innsbruck
A,IL,Innsbruck/Land,Tirol,AT-7,BH Innsbruck
A,IM,Imst,Tirol,AT-7,BH Imst
A,KB,Kitzbühel,Tirol,AT-7,BH Kitzbühel
A,KU,Kufstein,Tirol,AT-7,BH Kufstein
A,LA,Landeck,Tirol,AT-7,BH Landeck
A,LZ,Lienz,Tirol,AT-7,BH Lienz
A,RE,Reutte,Tirol,AT-7,BH Reutte
A,SZ,Schwaz,Tirol,AT-7,BH Schwaz
A,B,Bregenz,Vorarlberg,AT-8,BH Bregenz
A,BZ,Bludenz,Vorarlberg,AT-8,BH Bludenz
A,DO,Dornbirn,Vorarlberg,AT-8,BH Dornbirn
A,FK,Feldkirch,Vorarlberg,AT-8,BH Feldkirch
A,W,Wien,Wien,AT-9,Landespolizeidirektion Wien
